"Date","Price","Open","High","Low","Vol.","Change %"
"05/16/2023","2,439,269","2,448,240","2,454,934","2,431,000","8.55K","-0.34%"
"05/15/2023","2,447,480","2,435,050","2,486,724","2,419,144","16.01K","0.48%"
"05/14/2023","2,435,809","2,440,797","2,465,106","2,433,767","9.43K","-0.17%"
"05/13/2023","2,440,000","2,449,707","2,463,609","2,426,414","9.12K","-0.40%"
"05/12/2023","2,449,921","2,420,795","2,464,314","2,352,388","24.05K","1.23%"
"05/11/2023","2,420,088","2,470,317","2,474,615","2,410,285","18.46K","-2.08%"
"05/10/2023","2,471,471","2,483,168","2,529,658","2,440,454","28.29K","-0.47%"
"05/09/2023","2,483,168","2,485,730","2,503,810","2,456,997","18.42K","-0.11%"
"05/08/2023","2,485,926","2,510,499","2,525,246","2,456,256","30.48K","-0.96%"
"05/07/2023","2,510,118","2,540,999","2,576,043","2,509,886","18.59K","-1.22%"
"05/06/2023","2,541,000","2,639,226","2,670,593","2,502,920","38.28K","-3.69%"
"05/05/2023","2,638,453","2,510,458","2,654,667","2,507,285","33.41K","5.12%"
"05/04/2023","2,509,907","2,540,603","2,555,132","2,503,752","15.81K","-1.19%"
"05/03/2023","2,540,182","2,503,673","2,559,183","2,476,055","20.85K","1.44%"
"05/02/2023","2,504,000","2,461,287","2,521,719","2,443,000","15.73K","1.74%"
"05/01/2023","2,461,288","2,507,999","2,528,524","2,437,000","22.07K","-1.77%"
"04/30/2023","2,505,705","2,542,995","2,579,485","2,505,705","16.79K","-1.47%"
"04/29/2023","2,543,000","2,523,513","2,552,162","2,514,501","9.22K","0.83%"
"04/28/2023","2,522,000","2,544,283","2,562,667","2,510,672","15.44K","-0.88%"
"04/27/2023","2,544,283","2,498,000","2,582,957","2,491,631","29.14K","1.94%"
"04/26/2023","2,495,750","2,498,899","2,608,933","2,415,250","48.07K","-0.13%"
"04/25/2023","2,498,899","2,462,999","2,515,908","2,415,580","22.85K","1.55%"
"04/24/2023","2,460,798","2,485,329","2,513,856","2,425,787","20.82K","-1.03%"
"04/23/2023","2,486,501","2,507,000","2,507,792","2,470,199","12.04K","-0.85%"
"04/22/2023","2,507,764","2,464,172","2,520,645","2,452,862","18.82K","1.74%"
"04/21/2023","2,464,802","2,588,047","2,599,480","2,440,407","38.57K","-4.76%"
"04/20/2023","2,588,107","2,575,130","2,625,404","2,558,384","33.68K","0.60%"
"04/19/2023","2,572,614","2,743,192","2,746,707","2,566,633","45.09K","-6.14%"
"04/18/2023","2,740,857","2,727,999","2,777,836","2,700,210","22.35K","0.50%"
"04/17/2023","2,727,198","2,765,431","2,768,578","2,706,776","23.10K","-1.38%"
"04/16/2023","2,765,431","2,749,872","2,790,949","2,732,000","17.24K","0.63%"